Date,Region,NTP,NTC,NTA,NTR,TR,NB,pourcentage
2013-02,Aquitaine,7926,7832,94,912,88.35546475995915,7.587719298245614,"12,69"
2014-10,Alsace,20186,19950,236,905,95.46365914786968,21.044198895027623,"5,65"
2015-04,Poitou Charentes,3406,3372,34,311,90.77698695136418,9.842443729903536,"10,12"
2013-03,Champagne Ardenne,6597,6421,176,378,94.11306650054507,15.986772486772487,"8,39"
2013-02,Auvergne,5229,5166,63,427,91.73441734417344,11.098360655737704,"9,37"
2014-10,Aquitaine,9227,9045,182,1060,88.2808181315644,7.533018867924528,"13,46"
2015-05,Haute Normandie,5363,5345,18,154,97.11880261927034,33.70779220779221,"3,2"
2013-03,Languedoc Roussillon,4930,4548,382,567,87.53298153034301,7.021164021164021,"19,24"
2013-02,Franche Comté,5241,5174,67,522,89.91109393119443,8.911877394636015,"11,23"
2014-10,Basse Normandie,3325,3291,34,252,92.34275296262534,12.05952380952381,"8,6"
2015-05,Languedoc Roussillon,4447,4397,50,493,88.78780987036616,7.918864097363083,"12,21"
2013-03,Midi Pyrénées,7946,7802,144,670,91.41245834401435,10.644776119402986,"10,24"
2013-02,Haute Normandie,5349,5301,48,211,96.01961893982268,24.123222748815166,"4,84"
2014-10,Centre,9201,9085,116,736,91.8987341772152,11.34375,"9,25"
2015-05,Midi Pyrénées,8122,8009,113,597,92.5458858783868,12.415410385259632,"8,74"
2013-04,Auvergne,5202,5167,35,342,93.38107218889104,14.108187134502923,"7,24"
2013-03,Franche Comté,5676,5628,48,360,93.60341151385929,14.633333333333333,"7,18"
2014-10,Pays-de-la-Loire,11639,11498,141,940,91.82466515915812,11.231914893617022,"9,28"
2015-05,Picardie,10224,10061,163,814,91.90935294702317,11.35995085995086,"9,55"
2013-04,Pays-de-la-Loire,9758,9549,209,501,94.75337731699656,18.05988023952096,"7,27"
2013-03,Pays-de-la-Loire,9837,9484,353,520,94.51708140025306,17.23846153846154,"8,87"
2014-10,Rhône Alpes,30531,30064,467,3580,88.09207025013305,7.397765363128491,"13,25"
2015-06,Bretagne,8494,8446,48,362,95.71394743073644,22.331491712707184,"4,82"
2013-04,Picardie,10870,10819,51,657,93.92735003235047,15.467275494672757,"6,51"
2013-03,Picardie,10440,10304,136,882,91.44021739130434,10.682539682539682,"9,75"
2014-11,Franche Comté,5456,5368,88,457,91.4865871833085,10.74617067833698,"9,98"
2015-06,Languedoc Roussillon,4666,4483,183,599,86.63841177782734,6.484140233722871,"16,75"
2013-05,Alsace,18659,18533,126,444,97.60427345815572,40.740990990990994,"3,05"
2014-11,Haute Normandie,5363,5324,39,346,93.50112697220136,14.38728323699422,"7,17"
2015-06,Midi Pyrénées,8545,8349,196,767,90.8132710504252,9.885267275097783,"11,26"
2013-05,Haute Normandie,5447,5433,14,215,96.04270200625804,24.269767441860463,"4,2"
2013-04,Alsace,18846,18726,120,581,96.89736195663782,31.23063683304647,"3,71"
2014-11,Pays-de-la-Loire,10403,10273,130,746,92.73824588727732,12.77077747989276,"8,42"
2015-06,Rhône Alpes,28458,28068,390,3149,88.78081801339604,7.913305811368688,"12,43"
2013-05,Limousin,3944,3897,47,171,95.61200923787528,21.789473684210527,"5,52"
2014-11,Poitou Charentes,3273,3235,38,274,91.53013910355487,10.806569343065693,"9,53"
2015-07,Aquitaine,8373,7990,383,1186,85.15644555694618,5.736930860033727,"18,73"
2013-05,Pays-de-la-Loire,9823,9420,403,658,93.01486199575372,13.3161094224924,"10,8"
2013-05,Bretagne,7977,7910,67,323,95.9165613147914,23.489164086687307,"4,88"
2014-11,Provence Alpes Côte d'Azur,12950,12179,771,3122,74.3657114705641,2.9010249839846254,"30,06"
2015-07,Rhône Alpes,27129,26601,528,3408,87.18845156197135,6.805457746478873,"14,5"
2013-05,Poitou Charentes,3292,3276,16,161,95.08547008547008,19.347826086956523,"5,37"
2013-05,Champagne Ardenne,6463,6442,21,225,96.50729587084756,27.63111111111111,"3,8"
2014-12,Alsace,18677,18536,141,689,96.28290893396634,25.90275761973875,"4,44"
2015-08,Alsace,16188,16081,107,526,96.7290591381133,29.572243346007603,"3,91"
2013-06,Aquitaine,8152,8052,100,892,88.92200695479384,8.026905829596412,"12,16"
2014-12,Auvergne,5796,5666,130,374,93.39922343805154,14.149732620320856,"8,69"
2015-08,Aquitaine,8351,8192,159,1004,87.744140625,7.159362549800797,"13,92"
2013-06,Basse Normandie,3186,3063,123,183,94.0254652301665,15.737704918032788,"9,6"
2013-06,Haute Normandie,5564,5485,79,256,95.3327256153145,20.42578125,"6,02"
2014-12,Bourgogne,8021,7924,97,661,91.65825340737,10.987897125567322,"9,45"
2015-08,Bretagne,7050,6980,70,358,94.87106017191977,18.497206703910614,"6,07"
2013-06,Midi Pyrénées,8381,8140,241,640,92.13759213759214,11.71875,"10,51"
2013-06,Languedoc Roussillon,5106,4770,336,475,90.041928721174,9.042105263157897,"15,88"
2014-12,Franche Comté,5716,5644,72,452,91.99149539333806,11.486725663716816,"9,16"
2015-08,Franche Comté,5375,5333,42,341,93.60585036564784,14.639296187683284,"7,12"
2013-06,Picardie,10617,10570,47,791,92.51655629139071,12.36283185840708,"7,89"
2013-06,Limousin,4003,3716,287,237,93.6221743810549,14.679324894514767,"13,09"
2015-08,Limousin,4113,4070,43,392,90.36855036855036,9.38265306122449,"10,57"
2013-07,Alsace,14462,14363,99,483,96.63719278702222,28.73706004140787,"4,02"
2013-07,Auvergne,5564,5451,113,590,89.17629792698588,8.238983050847457,"12,63"
2015-01,Midi Pyrénées,8726,8528,198,725,91.49859287054409,10.762758620689656,"10,57"
