Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2019-03;RER;D;RER D;89.507;8.5
2017-12;Transilien;H;Paris Nord Ouest;89.4;8.4
2019-03;Transilien;R;Paris Sud Est;88.651;7.8
2017-12;Transilien;K;Paris Nord Crépy;90.0;9.0
2019-04;RER;C;RER C;90.907;10.0
2018-01;RER;A;RER A;79.6;3.9
2019-04;RER;D;RER D;87.09;6.7
2018-01;Transilien;H;Paris Nord Ouest;92.4;12.2
2019-04;Transilien;H;Paris Nord Ouest;96.27;25.8
2018-01;Transilien;U;La Verrière - La Défense;91.4;10.6
2019-04;Transilien;L;Paris Saint-Lazare Sud;93.565;14.5
2018-02;RER;B;RER B;79.8;4.0
2019-04;Transilien;N;Paris Montparnasse;94.439;17.0
2018-02;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2019-05;RER;E;RER E;95.911;23.5
2018-03;RER;B;RER B;86.4;6.4
2019-05;Transilien;N;Paris Montparnasse;94.099;15.9
2018-03;RER;C;RER C;90.5;9.5
2013-01;RER;D;RER D;77.6;3.5
2019-05;Transilien;R;Paris Sud Est;91.536;10.8
2018-03;Transilien;J;Paris Saint-Lazare Nord;88.2;7.5
2013-01;RER;E;RER E;93.3;13.9
2019-06;RER;A;RER A;86.691;6.5
2018-03;Transilien;K;Paris Nord Crépy;93.0;13.3
2013-01;Transilien;K;Paris Nord Crépy;75.2;3.0
2019-06;RER;E;RER E;91.025;10.1
2018-03;Transilien;L;Paris Saint-Lazare Sud;89.8;8.8
2013-01;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2019-06;Transilien;J;Paris Saint-Lazare Nord;86.187;6.2
2018-04;Transilien;J;Paris Saint-Lazare Nord;94.4;16.9
2013-02;Transilien;L;Paris Saint-Lazare Sud;82.1;4.6
2019-07;RER;E;RER E;91.031;10.1
2018-05;RER;A;RER A;82.2;4.6
2013-03;RER;C;RER C;87.6;7.1
2019-07;Transilien;K;Paris Nord Crépy;93.187;13.7
2018-05;RER;B;RER B;86.8;6.6
2013-03;Transilien;U;La Verrière - La Défense;89.2;8.3
2019-07;Transilien;P;Paris Est;82.731;4.8
2018-05;Transilien;J;Paris Saint-Lazare Nord;92.3;12.0
2013-04;RER;B;RER B;86.4;6.4
2019-08;RER;D;RER D;88.681;7.8
2018-05;Transilien;K;Paris Nord Crépy;83.1;4.9
2013-04;RER;D;RER D;82.9;4.8
2019-08;Transilien;J;Paris Saint-Lazare Nord;94.401;16.9
2018-06;RER;A;RER A;80.0;4.0
2013-04;Transilien;L;Paris Saint-Lazare Sud;84.4;5.4
2019-08;Transilien;L;Paris Saint-Lazare Sud;96.777;30.0
2018-06;RER;C;RER C;88.7;7.8
2013-04;Transilien;N;Paris Montparnasse;90.2;9.2
2019-08;Transilien;N;Paris Montparnasse;95.268;20.1
2018-06;RER;E;RER E;92.9;13.1
2013-05;Transilien;P;Paris Est;90.4;9.4
2019-08;Transilien;P;Paris Est;91.514;10.8
2018-06;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2013-06;RER;D;RER D;85.1;5.7
2019-08;Transilien;U;La Verrière - La Défense;96.816;30.4
2018-06;Transilien;P;Paris Est;82.8;4.8
2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1
2019-09;RER;B;RER B;82.206;4.6
2018-07;RER;C;RER C;88.9;8.0
2013-06;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
2019-09;Transilien;K;Paris Nord Crépy;91.221;10.4
2018-07;RER;E;RER E;90.2;9.2
